p_raw,p_cal,weight
0.477,0.335,56
0.478,0.335,107
0.479,0.335,36
0.479,0.336,85
0.48,0.336,122
0.481,0.336,27
0.481,0.337,83
0.482,0.337,124
0.483,0.337,28
0.483,0.338,100
0.484,0.338,119
0.485,0.338,2
0.485,0.339,124
0.486,0.339,105
0.486,0.34,14
0.487,0.34,127
0.488,0.34,107
0.488,0.341,21
0.489,0.341,116
0.49,0.341,73
0.49,0.342,44
0.491,0.342,116
0.492,0.342,66
0.492,0.343,59
0.493,0.343,133
0.494,0.343,47
0.494,0.344,57
0.495,0.344,107
0.496,0.344,24
0.496,0.345,87
0.497,0.345,120
0.498,0.345,24
0.498,0.346,106
0.499,0.346,123
0.5,0.346,5
0.5,0.347,109
0.501,0.347,111
0.501,0.348,16
0.502,0.348,129
0.503,0.348,83
0.503,0.349,38
0.504,0.349,101
0.505,0.349,77
0.505,0.35,42
0.506,0.35,118
0.507,0.35,47
0.507,0.351,73
0.508,0.351,104
0.509,0.351,28
0.509,0.352,79
0.51,0.352,124
0.511,0.352,18
0.511,0.353,93
0.512,0.353,90
0.513,0.354,110
0.514,0.354,94
0.514,0.355,18
0.515,0.355,109
0.516,0.355,80
0.516,0.356,42
0.517,0.356,115
0.518,0.356,57
0.518,0.357,46
0.519,0.357,132
0.52,0.357,45
0.52,0.358,82
0.521,0.358,117
0.522,0.358,21
0.522,0.359,103
0.523,0.359,111
0.524,0.359,4
0.524,0.36,107
0.525,0.36,103
0.525,0.361,27
0.526,0.361,96
0.527,0.361,80
0.527,0.362,34
0.528,0.362,98
0.529,0.362,53
0.529,0.363,48
0.53,0.363,110
0.531,0.363,41
0.531,0.364,86
0.532,0.364,111
0.533,0.364,18
0.533,0.365,103
0.534,0.365,112
0.534,0.366,8
0.535,0.366,107
0.536,0.366,86
0.536,0.367,26
0.537,0.367,130
0.538,0.367,61
0.538,0.368,42
0.539,0.368,98
0.54,0.368,45
0.54,0.369,72
0.541,0.369,131
0.542,0.369,22
0.542,0.37,106
0.543,0.37,98
0.543,0.371,5
0.544,0.371,104
0.545,0.371,85
0.545,0.372,21
0.546,0.372,93
0.547,0.372,68
0.547,0.373,54
0.548,0.373,90
0.549,0.373,35
0.549,0.374,76
0.55,0.374,114
0.551,0.374,17
0.551,0.375,102
0.552,0.375,100
0.552,0.376,13
0.553,0.376,105
0.554,0.376,70
0.554,0.377,26
0.555,0.377,105
0.556,0.377,44
0.556,0.378,48
0.557,0.378,109
0.558,0.378,36
0.558,0.379,79
0.559,0.379,116
0.559,0.38,1
0.56,0.38,114
0.561,0.38,83
0.561,0.381,27
0.562,0.381,104
0.563,0.381,39
0.563,0.382,53
0.564,0.382,99
0.565,0.382,36
0.565,0.383,75
0.566,0.383,118
0.567,0.383,3
0.567,0.384,115
0.568,0.384,86
0.568,0.385,21
0.569,0.385,109
0.57,0.385,55
0.57,0.386,43
0.571,0.386,108
0.572,0.386,33
0.572,0.387,82
0.573,0.387,96
0.574,0.387,1
0.574,0.388,114
0.575,0.388,86
0.575,0.389,29
0.576,0.389,109
0.577,0.389,54
0.577,0.39,54
0.578,0.39,103
0.579,0.39,20
0.579,0.391,78
0.58,0.391,92
0.58,0.392,3
0.581,0.392,100
0.582,0.392,70
0.582,0.393,40
0.583,0.393,113
0.584,0.393,31
0.584,0.394,65
0.585,0.394,94
0.586,0.394,13
0.586,0.395,100
0.587,0.395,71
0.587,0.396,23
0.588,0.396,118
0.589,0.396,51
0.589,0.397,52
0.59,0.397,95
0.591,0.397,24
0.591,0.398,94
0.592,0.398,102
0.592,0.399,7
0.593,0.399,117
0.594,0.399,67
0.594,0.4,34
0.595,0.4,109
0.596,0.4,41
0.596,0.401,70
0.597,0.401,93
0.598,0.401,4
0.598,0.402,113
0.599,0.402,79
0.599,0.403,19
0.6,0.403,121
0.601,0.403,45
0.601,0.404,57
0.602,0.404,99
0.603,0.404,8
0.603,0.405,98
0.604,0.405,76
0.604,0.406,28
0.605,0.406,120
0.606,0.406,40
0.606,0.407,74
0.607,0.407,96
0.608,0.407,9
0.608,0.408,108
0.609,0.408,80
0.609,0.409,28
